text,label
교수님 연구실 연락처를 알려줘,0
교수님 이메일 주소를 알려줘,0
교수님들이 누가 있는지 알려줘,0
교수님 수업을 알려줘,0
교수님 이번 강의 주제가 무엇인가요?,0
교수님 과제 제출 기한이 언제까지인가요?,0
교수님 질문이 있는데 언제 가능할까요?,0
교수님 출석 체크는 어떻게 하나요?,0
교수님 지난 강의 자료를 어디서 받을 수 있나요?,0
교수님 다음 주 강의 시간 변경되나요?,0
교수님 기말고사 범위가 어떻게 되나요?,0
교수님 오늘 강의는 몇 시에 시작하나요?,0
교수님 발표 순서는 어떻게 정해지나요?,0
교수님 개인 상담 시간 예약하려면 어떻게 해야 하나요?,0
교수님 과제 점수는 언제 나오는지 알 수 있을까요?,0
교수님 학점은 어떤 기준으로 주어지나요?,0
교수님 강의 계획서 좀 다시 보내주실 수 있나요?,0
교수님 추가 과제는 어디서 확인할 수 있나요?,0
교수님 중간고사 성적 확인은 어디서 하나요?,0
교수님 다음 주에 강의가 있나요?,0
교수님 연구실 위치가 어디인가요?,0
교수님 출석 인정 기준이 어떻게 되나요?,0
교수님 조별 과제 주제는 무엇인가요?,0
교수님 이번 주 과제는 어떤 건가요?,0
교수님 지난주 결석했는데 보강 가능한가요?,0
교수님 졸업 논문 주제 상담 가능할까요?,0
교수님 시험은 주로 어떤 형태로 나오나요?,0
교수님 레포트 제출 형식은 어떻게 되나요?,0
교수님 수업 자료는 어디서 다운로드할 수 있나요?,0
교수님 오늘 강의는 온라인으로 진행되나요?,0
교수님 발표 자료 제출 마감일은 언제인가요?,0
교수님 조별 발표 일정은 어떻게 되나요?,0
교수님 다음 강의에서 다룰 주제가 무엇인가요?,0
교수님 강의 녹화본은 어디서 볼 수 있나요?,0
교수님 중간고사 대비 자료는 어디서 구할 수 있나요?,0
교수님 발표 순서를 다시 확인할 수 있을까요?,0
교수님 이번 학기 주요 일정은 무엇인가요?,0
교수님 과제 제출은 이메일로 해야 하나요?,0
교수님 학기 중 휴강 일정은 언제인가요?,0
교수님 보강 수업 일정은 어떻게 되나요?,0
교수님 이번 주 강의 주제는 무엇인가요?,0
교수님 출석 점수는 어디서 확인할 수 있나요?,0
교수님 시험 일정이 변경되었나요?,0
교수님 이번 학기 성적은 언제 나오는지요?,0
교수님 다음 주 보강 수업이 있나요?,0
교수님 과제 점수 반영 비율은 어떻게 되나요?,0
교수님 강의 시간 변경 가능할까요?,0
교수님 조별 과제 발표 순서 알려주세요,0
교수님 이번 과제 주제는 무엇인가요?,0
교수님 학기말 프로젝트 주제는 어떻게 정하나요?,0
교수님 이번 주 보충 강의 있나요?,0
교수님 중간고사 범위 다시 알려주실 수 있나요?,0
교수님 발표 자료 제출 방법은 무엇인가요?,0
교수님 강의 중에 사용한 자료를 받을 수 있나요?,0
교수님 지난 강의 출석 인정해 주실 수 있나요?,0
교수님 추가 강의 자료는 어디서 확인하나요?,0
교수님 다음 과제 제출 기한이 언제인가요?,0
교수님 학기말 시험은 언제인가요?,0
교수님 강의 계획 변경된 부분이 있나요?,0
교수님 수업 중에 질문이 있습니다,0
교수님 강의 내용 다시 설명해 주실 수 있나요?,0
교수님 조별 과제 피드백 받을 수 있나요?,0
교수님 이번 강의 녹화본 어디서 보나요?,0
교수님 과제 점수는 어디서 확인할 수 있나요?,0
교수님 강의 자료 이메일로 보내주실 수 있나요?,0
교수님 시험 대비 자료는 어디서 구할 수 있나요?,0
교수님 발표 자료 다시 제출할 수 있나요?,0
교수님 졸업 논문 지도 가능할까요?,0
교수님 학기말 과제 주제는 무엇인가요?,0
교수님 과제 제출 연장 가능한가요?,0
교수님 강의 관련 문의는 언제 가능할까요?,0
교수님 중간고사 점수는 언제 나오나요?,0
교수님 발표 준비 관련해서 조언 부탁드립니다,0
교수님 추가 보충 수업 일정이 있나요?,0
교수님 출석 점수 반영 비율은 어떻게 되나요?,0
교수님 이번 강의 시험은 주관식인가요?,0
교수님 발표 주제는 자유롭게 선택 가능한가요?,0
교수님 강의 시간에 질문할 시간이 있나요?,0
교수님 수업 중에 사용한 교재는 어디서 구매할 수 있나요?,0
교수님 추가 강의자료는 언제 올라오나요?,0
교수님 강의 중간에 쉬는 시간이 있나요?,0
교수님 조별 발표는 언제 하나요?,0
교수님 이번 강의는 어디서 진행되나요?,0
교수님 중간고사 대비해서 조언해 주실 수 있나요?,0
교수님 강의 중에 개인 발표가 있나요?,0
교수님 출석 체크는 언제 하나요?,0
교수님 수업 중 사용할 교재 목록이 있나요?,0
교수님 강의 후 질문해도 될까요?,0
교수님 시험 성적은 언제 발표되나요?,0
교수님 강의 내용에 대해 더 알고 싶습니다,0
교수님 추가 과제 주실 수 있나요?,0
교수님 발표 자료는 언제 제출해야 하나요?,0
교수님 중간고사 일정 다시 알려주세요,0
교수님 이번 주 강의는 어떤 내용인가요?,0
교수님 강의 관련 피드백 받을 수 있나요?,0
교수님 과제 제출은 온라인으로 하나요?,0
교수님 강의 계획서 다시 받을 수 있나요?,0
교수님 수업 시간에 개인 질문 가능한가요?,0
교수님 이번 강의에서 다룰 주제가 무엇인가요?,0
교수님 강의 중에 사용하는 프로그램은 무엇인가요?,0
교수님 강의 시간 변경 가능할까요?,0
